id,S2CellId
0,other
1,0094000000000000
2,0098400000000000
3,0098c00000000000
4,0099100000000000
5,0099300000000000
6,0099500000000000
7,0099640000000000
8,00996c0000000000
9,0099740000000000
10,0099790000000000
11,00997b0000000000
12,00997d0000000000
13,00997e4000000000
14,00997ec000000000
15,00997f1000000000
16,00997f3000000000
17,00997f5000000000
18,00997f7000000000
19,00997fc000000000
20,0099804000000000
21,0099814000000000
22,009981c000000000
23,0099830000000000
24,0099850000000000
25,0099870000000000
26,00998c0000000000
27,0099940000000000
28,00999c0000000000
29,0099b00000000000
30,0099d00000000000
31,0099f00000000000
32,009a400000000000
33,009bc40000000000
34,009bd10000000000
35,009bd44000000000
36,009bd4c000000000
37,009bd51000000000
38,009bd53000000000
39,009bd55000000000
40,009bd57000000000
41,009bd5c000000000
42,009bd70000000000
43,009bdc0000000000
44,009bf00000000000
45,009d000000000000
46,009f000000000000
47,00a1000000000000
48,00a3000000000000
49,00a5000000000000
50,00a6400000000000
51,00a6840000000000
52,00a68c0000000000
53,00a6940000000000
54,00a6990000000000
55,00a69b0000000000
56,00a69d0000000000
57,00a69f0000000000
58,00a6b00000000000
59,00a6d00000000000
60,00a6f00000000000
61,00a7400000000000
62,00a7c00000000000
63,00ac000000000000
64,00b4000000000000
65,00b9000000000000
66,00bb000000000000
67,00bd000000000000
68,00bf000000000000
69,00d0000000000000
70,0140000000000000
71,0300000000000000
72,0500000000000000
73,0640000000000000
74,0704000000000000
75,070c000000000000
76,0711000000000000
77,0713000000000000
78,0715000000000000
79,0716030000000000
80,0716044000000000
81,0716049000000000
82,071604b000000000
83,071604d000000000
84,071604f000000000
85,0716054000000000
86,07160c0000000000
87,0716140000000000
88,07161c0000000000
89,0716300000000000
90,0716500000000000
91,0716700000000000
92,0716c00000000000
93,0717400000000000
94,071c000000000000
95,0730000000000000
96,0750000000000000
97,0770000000000000
98,0790000000000000
99,07a4000000000000
100,07a9000000000000
101,07aa400000000000
102,07aac00000000000
103,07ab0c0000000000
104,07ab140000000000
105,07ab190000000000
106,07ab1b0000000000
107,07ab1d0000000000
108,07ab1f0000000000
109,07ab300000000000
110,07ab500000000000
111,07ab700000000000
112,07abc00000000000
113,07ad000000000000
114,07af000000000000
115,07b4000000000000
116,07bc000000000000
117,07c1000000000000
118,07c7300000000000
119,07c7440000000000
120,07c74c0000000000
121,07c7540000000000
122,07c75c0000000000
123,07c7700000000000
124,07f0000000000000
125,0900000000000000
126,0b00000000000000
127,0c30000000000000
128,0c40400000000000
129,0c40840000000000
130,0c408c0000000000
131,0c40910000000000
132,0c40930000000000
133,0c40950000000000
134,0c40970000000000
135,0c409c0000000000
136,0c40b00000000000
137,0c40f00000000000
138,0c41c00000000000
139,0c46100000000000
140,0c46240000000000
141,0c46340000000000
142,0c463c0000000000
143,0c46500000000000
144,0c47400000000000
145,0c47c00000000000
146,0c4c000000000000
147,0c5c000000000000
148,0c60500000000000
149,0c60700000000000
150,0c60c00000000000
151,0c6a400000000000
152,0c6a840000000000
153,0c6a8c0000000000
154,0c6a940000000000
155,0c6a9c0000000000
156,0c6ab00000000000
157,0c6af00000000000
158,0c6b400000000000
159,0c6bc00000000000
160,0c6d000000000000
161,0cc0000000000000
162,0d04000000000000
163,0d0b000000000000
164,0d0c400000000000
165,0d0c900000000000
166,0d0cb00000000000
167,0d0cd00000000000
168,0d0cf00000000000
169,0d0d400000000000
170,0d0d900000000000
171,0d0db00000000000
172,0d0dc40000000000
173,0d0dcc0000000000
174,0d0dd40000000000
175,0d0ddc0000000000
176,0d0df00000000000
177,0d0f000000000000
178,0d10400000000000
179,0d10c00000000000
